query,rank,precision,recall
remote work and the future of the office,2,1.0,0.1
remote work and the future of the office,3,1.0,0.15
remote work and the future of the office,4,1.0,0.2
remote work and the future of the office,5,1.0,0.25
remote work and the future of the office,6,1.0,0.3
remote work and the future of the office,7,1.0,0.35
remote work and the future of the office,8,1.0,0.4
remote work and the future of the office,9,1.0,0.45
remote work and the future of the office,10,1.0,0.5
remote work and the future of the office,11,1.0,0.55
remote work and the future of the office,12,1.0,0.6
remote work and the future of the office,13,1.0,0.65
remote work and the future of the office,14,1.0,0.7
remote work and the future of the office,15,1.0,0.75
remote work and the future of the office,16,1.0,0.8
remote work and the future of the office,17,1.0,0.85
remote work and the future of the office,18,1.0,0.9
remote work and the future of the office,19,1.0,0.95
remote work and the future of the office,20,1.0,1.0
stock market crash and economic recession 2020,1,1.0,0.090909
stock market crash and economic recession 2020,2,1.0,0.181818
stock market crash and economic recession 2020,3,1.0,0.272727
stock market crash and economic recession 2020,4,1.0,0.363636
stock market crash and economic recession 2020,5,1.0,0.454545
stock market crash and economic recession 2020,6,1.0,0.545455
stock market crash and economic recession 2020,7,0.857143,0.545455
stock market crash and economic recession 2020,8,0.75,0.545455
stock market crash and economic recession 2020,9,0.777778,0.636364
stock market crash and economic recession 2020,10,0.7,0.636364
stock market crash and economic recession 2020,11,0.727273,0.727273
stock market crash and economic recession 2020,12,0.666667,0.727273
stock market crash and economic recession 2020,13,0.692308,0.818182
stock market crash and economic recession 2020,14,0.714286,0.909091
stock market crash and economic recession 2020,15,0.666667,0.909091
stock market crash and economic recession 2020,16,0.625,0.909091
stock market crash and economic recession 2020,17,0.588235,0.909091
stock market crash and economic recession 2020,18,0.555556,0.909091
stock market crash and economic recession 2020,19,0.526316,0.909091
stock market crash and economic recession 2020,20,0.55,1.0
artificial intelligence and machine learning breakthroughs,1,1.0,0.058824
artificial intelligence and machine learning breakthroughs,2,0.5,0.058824
artificial intelligence and machine learning breakthroughs,3,0.666667,0.117647
artificial intelligence and machine learning breakthroughs,4,0.5,0.117647
artificial intelligence and machine learning breakthroughs,5,0.6,0.176471
artificial intelligence and machine learning breakthroughs,6,0.666667,0.235294
artificial intelligence and machine learning breakthroughs,7,0.714286,0.294118
artificial intelligence and machine learning breakthroughs,8,0.75,0.352941
artificial intelligence and machine learning breakthroughs,9,0.777778,0.411765
artificial intelligence and machine learning breakthroughs,10,0.8,0.470588
artificial intelligence and machine learning breakthroughs,11,0.818182,0.529412
artificial intelligence and machine learning breakthroughs,12,0.833333,0.588235
artificial intelligence and machine learning breakthroughs,13,0.846154,0.647059
artificial intelligence and machine learning breakthroughs,14,0.857143,0.705882
artificial intelligence and machine learning breakthroughs,15,0.866667,0.764706
artificial intelligence and machine learning breakthroughs,16,0.875,0.823529
artificial intelligence and machine learning breakthroughs,17,0.823529,0.823529
artificial intelligence and machine learning breakthroughs,18,0.833333,0.882353
artificial intelligence and machine learning breakthroughs,19,0.842105,0.941176
artificial intelligence and machine learning breakthroughs,20,0.85,1.0
mRNA vaccines and the future of medicine,1,0.0,0.0
mRNA vaccines and the future of medicine,2,0.0,0.0
mRNA vaccines and the future of medicine,3,0.0,0.0
mRNA vaccines and the future of medicine,4,0.0,0.0
mRNA vaccines and the future of medicine,5,0.0,0.0
mRNA vaccines and the future of medicine,6,0.0,0.0
mRNA vaccines and the future of medicine,7,0.0,0.0
mRNA vaccines and the future of medicine,8,0.0,0.0
mRNA vaccines and the future of medicine,9,0.0,0.0
mRNA vaccines and the future of medicine,10,0.0,0.0
mRNA vaccines and the future of medicine,11,0.0,0.0
mRNA vaccines and the future of medicine,12,0.0,0.0
mRNA vaccines and the future of medicine,13,0.0,0.0
mRNA vaccines and the future of medicine,14,0.0,0.0
mRNA vaccines and the future of medicine,15,0.0,0.0
mRNA vaccines and the future of medicine,16,0.0,0.0
mRNA vaccines and the future of medicine,17,0.0,0.0
mRNA vaccines and the future of medicine,18,0.0,0.0
mRNA vaccines and the future of medicine,19,0.0,0.0
mRNA vaccines and the future of medicine,20,0.0,0.0
climate change policy and the Paris Agreement,1,1.0,0.066667
climate change policy and the Paris Agreement,2,1.0,0.133333
climate change policy and the Paris Agreement,3,1.0,0.2
climate change policy and the Paris Agreement,4,1.0,0.266667
climate change policy and the Paris Agreement,5,1.0,0.333333
climate change policy and the Paris Agreement,6,1.0,0.4
climate change policy and the Paris Agreement,7,1.0,0.466667
climate change policy and the Paris Agreement,8,0.875,0.466667
climate change policy and the Paris Agreement,9,0.888889,0.533333
climate change policy and the Paris Agreement,10,0.9,0.6
climate change policy and the Paris Agreement,11,0.909091,0.666667
climate change policy and the Paris Agreement,12,0.916667,0.733333
climate change policy and the Paris Agreement,13,0.923077,0.8
climate change policy and the Paris Agreement,14,0.928571,0.866667
climate change policy and the Paris Agreement,15,0.866667,0.866667
climate change policy and the Paris Agreement,16,0.8125,0.866667
climate change policy and the Paris Agreement,17,0.823529,0.933333
climate change policy and the Paris Agreement,18,0.833333,1.0
climate change policy and the Paris Agreement,19,0.789474,1.0
climate change policy and the Paris Agreement,20,0.75,1.0
cryptocurrency Bitcoin surge and institutional adoption,1,1.0,0.058824
cryptocurrency Bitcoin surge and institutional adoption,2,1.0,0.117647
cryptocurrency Bitcoin surge and institutional adoption,3,1.0,0.176471
cryptocurrency Bitcoin surge and institutional adoption,4,1.0,0.235294
cryptocurrency Bitcoin surge and institutional adoption,5,1.0,0.294118
cryptocurrency Bitcoin surge and institutional adoption,6,0.833333,0.294118
cryptocurrency Bitcoin surge and institutional adoption,7,0.857143,0.352941
cryptocurrency Bitcoin surge and institutional adoption,8,0.875,0.411765
cryptocurrency Bitcoin surge and institutional adoption,9,0.888889,0.470588
cryptocurrency Bitcoin surge and institutional adoption,10,0.9,0.529412
cryptocurrency Bitcoin surge and institutional adoption,11,0.909091,0.588235
cryptocurrency Bitcoin surge and institutional adoption,12,0.916667,0.647059
cryptocurrency Bitcoin surge and institutional adoption,13,0.923077,0.705882
cryptocurrency Bitcoin surge and institutional adoption,14,0.928571,0.764706
cryptocurrency Bitcoin surge and institutional adoption,15,0.933333,0.823529
cryptocurrency Bitcoin surge and institutional adoption,16,0.9375,0.882353
cryptocurrency Bitcoin surge and institutional adoption,17,0.882353,0.882353
cryptocurrency Bitcoin surge and institutional adoption,18,0.888889,0.941176
cryptocurrency Bitcoin surge and institutional adoption,19,0.894737,1.0
cryptocurrency Bitcoin surge and institutional adoption,20,0.85,1.0
privacy concerns and surveillance capitalism,1,1.0,0.055556
privacy concerns and surveillance capitalism,2,1.0,0.111111
privacy concerns and surveillance capitalism,3,1.0,0.166667
privacy concerns and surveillance capitalism,4,1.0,0.222222
privacy concerns and surveillance capitalism,5,1.0,0.277778
privacy concerns and surveillance capitalism,6,1.0,0.333333
privacy concerns and surveillance capitalism,7,1.0,0.388889
privacy concerns and surveillance capitalism,8,1.0,0.444444
privacy concerns and surveillance capitalism,9,1.0,0.5
privacy concerns and surveillance capitalism,10,1.0,0.555556
privacy concerns and surveillance capitalism,11,0.909091,0.555556
privacy concerns and surveillance capitalism,12,0.916667,0.611111
privacy concerns and surveillance capitalism,13,0.923077,0.666667
privacy concerns and surveillance capitalism,14,0.857143,0.666667
privacy concerns and surveillance capitalism,15,0.866667,0.722222
privacy concerns and surveillance capitalism,16,0.875,0.777778
privacy concerns and surveillance capitalism,17,0.882353,0.833333
privacy concerns and surveillance capitalism,18,0.888889,0.888889
privacy concerns and surveillance capitalism,19,0.894737,0.944444
privacy concerns and surveillance capitalism,20,0.9,1.0
social media addiction and its effects on teenagers,1,1.0,0.066667
social media addiction and its effects on teenagers,2,1.0,0.133333
social media addiction and its effects on teenagers,3,1.0,0.2
social media addiction and its effects on teenagers,4,1.0,0.266667
social media addiction and its effects on teenagers,5,1.0,0.333333
social media addiction and its effects on teenagers,6,1.0,0.4
social media addiction and its effects on teenagers,7,0.857143,0.4
social media addiction and its effects on teenagers,8,0.875,0.466667
social media addiction and its effects on teenagers,9,0.777778,0.466667
social media addiction and its effects on teenagers,10,0.8,0.533333
social media addiction and its effects on teenagers,11,0.727273,0.533333
social media addiction and its effects on teenagers,12,0.75,0.6
social media addiction and its effects on teenagers,13,0.769231,0.666667
social media addiction and its effects on teenagers,14,0.785714,0.733333
social media addiction and its effects on teenagers,15,0.8,0.8
social media addiction and its effects on teenagers,16,0.8125,0.866667
social media addiction and its effects on teenagers,17,0.823529,0.933333
social media addiction and its effects on teenagers,18,0.777778,0.933333
social media addiction and its effects on teenagers,19,0.789474,1.0
social media addiction and its effects on teenagers,20,0.75,1.0
Netflix binge watching and the streaming wars,1,1.0,0.071429
Netflix binge watching and the streaming wars,2,1.0,0.142857
Netflix binge watching and the streaming wars,3,1.0,0.214286
Netflix binge watching and the streaming wars,4,1.0,0.285714
Netflix binge watching and the streaming wars,5,0.8,0.285714
Netflix binge watching and the streaming wars,6,0.833333,0.357143
Netflix binge watching and the streaming wars,7,0.857143,0.428571
Netflix binge watching and the streaming wars,8,0.875,0.5
Netflix binge watching and the streaming wars,9,0.777778,0.5
Netflix binge watching and the streaming wars,10,0.8,0.571429
Netflix binge watching and the streaming wars,11,0.727273,0.571429
Netflix binge watching and the streaming wars,12,0.75,0.642857
Netflix binge watching and the streaming wars,13,0.769231,0.714286
Netflix binge watching and the streaming wars,14,0.714286,0.714286
Netflix binge watching and the streaming wars,15,0.733333,0.785714
Netflix binge watching and the streaming wars,16,0.6875,0.785714
Netflix binge watching and the streaming wars,17,0.647059,0.785714
Netflix binge watching and the streaming wars,18,0.666667,0.857143
Netflix binge watching and the streaming wars,19,0.684211,0.928571
Netflix binge watching and the streaming wars,20,0.7,1.0
Olympics postponement and athlete mental health,1,0.0,0.0
Olympics postponement and athlete mental health,2,0.0,0.0
Olympics postponement and athlete mental health,3,0.0,0.0
Olympics postponement and athlete mental health,4,0.0,0.0
Olympics postponement and athlete mental health,5,0.0,0.0
Olympics postponement and athlete mental health,6,0.0,0.0
Olympics postponement and athlete mental health,7,0.0,0.0
Olympics postponement and athlete mental health,8,0.0,0.0
Olympics postponement and athlete mental health,9,0.0,0.0
Olympics postponement and athlete mental health,10,0.0,0.0
Olympics postponement and athlete mental health,11,0.0,0.0
Olympics postponement and athlete mental health,12,0.0,0.0
Olympics postponement and athlete mental health,13,0.0,0.0
Olympics postponement and athlete mental health,14,0.0,0.0
Olympics postponement and athlete mental health,15,0.0,0.0
Olympics postponement and athlete mental health,16,0.0,0.0
Olympics postponement and athlete mental health,17,0.0,0.0
Olympics postponement and athlete mental health,18,0.0,0.0
Olympics postponement and athlete mental health,19,0.0,0.0
Olympics postponement and athlete mental health,20,0.0,0.0
5G technology rollout and conspiracy theories,1,1.0,0.25
5G technology rollout and conspiracy theories,2,1.0,0.5
5G technology rollout and conspiracy theories,3,0.666667,0.5
5G technology rollout and conspiracy theories,4,0.5,0.5
5G technology rollout and conspiracy theories,5,0.4,0.5
5G technology rollout and conspiracy theories,6,0.5,0.75
5G technology rollout and conspiracy theories,7,0.428571,0.75
5G technology rollout and conspiracy theories,8,0.375,0.75
5G technology rollout and conspiracy theories,9,0.444444,1.0
5G technology rollout and conspiracy theories,10,0.4,1.0
5G technology rollout and conspiracy theories,11,0.363636,1.0
5G technology rollout and conspiracy theories,12,0.333333,1.0
5G technology rollout and conspiracy theories,13,0.307692,1.0
5G technology rollout and conspiracy theories,14,0.285714,1.0
5G technology rollout and conspiracy theories,15,0.266667,1.0
5G technology rollout and conspiracy theories,16,0.25,1.0
5G technology rollout and conspiracy theories,17,0.235294,1.0
5G technology rollout and conspiracy theories,18,0.222222,1.0
5G technology rollout and conspiracy theories,19,0.210526,1.0
5G technology rollout and conspiracy theories,20,0.2,1.0
SpaceX Falcon 9 and commercial space travel,1,1.0,0.055556
SpaceX Falcon 9 and commercial space travel,2,1.0,0.111111
SpaceX Falcon 9 and commercial space travel,3,0.666667,0.111111
SpaceX Falcon 9 and commercial space travel,4,0.75,0.166667
SpaceX Falcon 9 and commercial space travel,5,0.6,0.166667
SpaceX Falcon 9 and commercial space travel,6,0.666667,0.222222
SpaceX Falcon 9 and commercial space travel,7,0.714286,0.277778
SpaceX Falcon 9 and commercial space travel,8,0.75,0.333333
SpaceX Falcon 9 and commercial space travel,9,0.777778,0.388889
SpaceX Falcon 9 and commercial space travel,10,0.8,0.444444
SpaceX Falcon 9 and commercial space travel,11,0.818182,0.5
SpaceX Falcon 9 and commercial space travel,12,0.833333,0.555556
SpaceX Falcon 9 and commercial space travel,13,0.846154,0.611111
SpaceX Falcon 9 and commercial space travel,14,0.857143,0.666667
SpaceX Falcon 9 and commercial space travel,15,0.866667,0.722222
SpaceX Falcon 9 and commercial space travel,16,0.875,0.777778
SpaceX Falcon 9 and commercial space travel,17,0.882353,0.833333
SpaceX Falcon 9 and commercial space travel,18,0.888889,0.888889
SpaceX Falcon 9 and commercial space travel,19,0.894737,0.944444
SpaceX Falcon 9 and commercial space travel,20,0.9,1.0
